ID,Species,avg_spwp,max_spwp
227,CC66,1214.333333,1641
223,C195,1053.888889,1520
224,CC67,803.3333333,1183
175,CC68,1426.555556,1971
197,C197,775.3888889,986
196,C199,1169.111111,1925
8,C200,2530.777778,4986
13,C201,1337.888889,2115
15,C202,1148.444444,2192
14,CC69,732.3333333,1075
4,CC70,454.4583333,1152
11,C204,935.7777778,1279
7,CC71,1488.222222,3151
10,C205,1064.888889,1380
5,C206,542.1111111,962
6,CC72,1584.5,2620
12,C208,924.4444444,1350
9,C209,2795.333333,4913
16,C210,1043,1868
93,CC73,905.6666667,1115
151,CC74,1063.222222,1372
207,C212,1070.208333,1879
209,C213,806.3333333,1576
210,C214,1608.277778,2374
208,C216,857.5,1109
226,C217,1094.555556,1859
190,CC75,734.8888889,853
2,C218,1900,4994
155,C219,811.1111111,1083
157,C220,698,1123
156,C222,627.7777778,988
80,C223,1053.708333,2043
