SPcode,LDMC,WD,SDMC,LA,SLA,Chl,LT,C13,C,N,CN,tlp
BBSP87,0.38559549,0.753755035,0.601300972,56.02953296,154.230458,65.05555556,0.137833333,NA,NA,NA,NA,NA
BBSP88,0.402709483,0.636538922,0.540906537,43.0890416,164.6908502,54.2,0.201666667,-36.790462,40.86945728,1.597408224,25.58485468,-1.391007015
BBSP89,0.289286277,0.635853659,0.584199315,4.529749616,335.5451288,46.68333333,0.096416667,NA,NA,NA,NA,-1.737647431
BBSP90,0.384490563,0.639487386,0.581238409,57.12958018,125.3549652,48.23333333,0.154111111,NA,NA,NA,NA,NA
BBSP91,0.338949802,0.465005325,0.439762174,128.8877631,192.4268424,42.11666667,0.127555556,-32.55,42.78,1.71,24.97664162,-1.276859081
BBSP163,0.567340586,0.629134357,0.569535284,31.24125184,242.0062311,42.66666667,0.102666667,-36.19,43.71,2.02,21.65707863,-1.572090961
BBSP94,0.417565631,0.567127572,0.461706048,44.95081372,244.1208784,53.10555556,0.115611111,NA,NA,NA,NA,-1.006282315
BBSP95,0.440097131,0.7828125,0.605804111,17.9276585,182.8244288,28.76666667,0.089333333,NA,NA,NA,NA,NA
BBSP96,0.341324446,0.651563131,0.551681034,23.830102,213.7894762,47,0.126277778,NA,NA,NA,NA,-1.481653903
BBSP97,0.434893785,0.504699423,0.473819523,111.2170893,150.0015126,54.35,0.18925,NA,NA,NA,NA,NA
BBSP100,0.307613565,0.299195031,0.317546538,47.61957063,186.5661491,37.25555556,0.124833333,NA,NA,NA,NA,NA
BBSP101,0.499168566,0.629924512,0.552837781,38.82159738,230.9686273,43.83333333,0.133777778,-37.744462,45.06836877,2.48117604,18.16411574,-1.626961705
BBSP105,0.290549942,0.490741325,0.430732867,49.81889725,201.921444,47.05555556,0.137222222,NA,NA,NA,NA,NA
BBSP106,0.410006569,0.585770273,0.470139872,35.46364085,138.8687201,55.38888889,0.147,-33.356462,39.08976348,1.135022439,34.43963937,-1.242237005
BBSP107,0.443427446,0.516562474,0.481806532,80.4512541,163.6573105,55.84444444,0.133333333,-36.954462,44.32340626,1.83133289,24.20281234,-1.528236332
BBSP108,0.211746486,0.270961343,0.249331075,102.7401373,238.1535052,37.46666667,0.154722222,NA,NA,NA,NA,-0.902101343
BBSP109,0.361615024,0.478728636,0.458388469,62.43973923,223.659741,43.68888889,0.110222222,-37.159462,43.91928731,1.748361286,25.12025842,-1.63797782
BBSP110,0.61447196,0.68952381,0.624137931,58.66516368,148.8957263,53.46666667,0.117,NA,NA,NA,NA,NA
BBSP111,0.37861033,0.665085441,0.590703012,21.32937707,193.1189124,57.4,0.133944444,NA,NA,NA,NA,NA
BBSP112,0.368476516,0.440839387,0.448895901,34.21798791,153.7260061,33.66666667,0.175333333,-31.658462,44.78216245,1.513991592,29.5788713,-1.176350147
BBSP113,0.259066532,0.398982775,0.383399346,85.76486291,126.2234264,40.14444444,0.277944444,NA,NA,NA,NA,NA
BBSP114,0.365090218,0.544612531,0.487503023,107.6641091,130.5983551,55.82222222,0.141666667,NA,NA,NA,NA,NA
BBSP116,0.49923109,0.650307446,0.623619371,28.54679786,173.9228728,49.01111111,0.095111111,NA,NA,NA,NA,-1.590975729
BBSP120,0.219838029,0.276455091,0.247128332,76.56634501,189.7083768,46.37777778,0.169833333,NA,NA,NA,NA,NA
BBSP122,0.506013672,0.550191784,0.516105391,177.0477066,142.6477457,48.31111111,0.100611111,NA,NA,NA,NA,NA
BBSP123,0.535438705,0.608969197,0.533029961,44.84433873,201.8288087,44.8,0.110722222,NA,NA,NA,NA,NA
BBSP124,0.418818076,0.57984708,0.550273913,17.20822285,254.4309275,42.54444444,0.091944444,NA,NA,NA,NA,NA
BBSP125,0.540538539,0.663868613,0.569862155,60.64081065,215.0823317,46.6,0.084666667,-36.269462,44.4944035,1.574087113,28.26679866,-1.463660915
BBSP127,0.194088056,0.227653465,0.220369636,49.55927891,324.9018664,45.37777778,0.104666667,NA,NA,NA,NA,NA
BBSP128,0.412313431,0.59865353,0.517874514,56.89312363,259.0342314,47.01666667,0.078833333,NA,NA,NA,NA,NA
BBSP130,0.48637996,0.485606061,0.562788793,7.126500977,281.0804063,45.08333333,0.090833333,NA,NA,NA,NA,NA
BBSP131,0.491318656,0.609475971,0.536342011,103.3299469,148.3378279,49.77222222,0.133222222,NA,NA,NA,NA,NA
BBSP132,0.246068846,0.399326484,0.324282911,28.30160014,226.3837111,54.7,0.161888889,-36.965462,37.73511362,2.588766815,14.57648229,-1.39793143
BBSP133,0.644825876,0.662001169,0.521436281,42.59162309,200.3868853,44.25555556,0.091555556,-37.303462,39.06742808,1.440285425,27.12478194,-1.484591534
BBSP135,0.505986491,0.658165182,0.552825538,34.94931313,212.9148365,44.05555556,0.098777778,-37.644462,42.66326011,1.750042144,24.37841869,-1.11927618
BBSP136,0.481839786,0.604075028,0.545047679,18.4059153,223.2862715,50.46666667,0.124333333,NA,NA,NA,NA,-1.647839866
BBSP138,0.382236534,0.550375408,0.457532909,117.1716885,179.6211114,45.31111111,0.142666667,-37.986462,40.61160513,1.681671707,24.14954415,-1.297422495
BBSP139,0.332419882,0.53684013,0.501414456,62.23239602,183.3545691,60.45555556,0.167055556,-37.462462,44.86762009,2.513403026,17.85134323,NA
BBSP142,0.365272918,0.516989253,0.472435747,80.00101132,183.0104909,46.88888889,0.153555556,-35.894462,36.50107432,1.547418937,23.58835959,-1.012891984
BBSP143,0.29926841,0.286532041,0.327231625,102.3692843,160.0765538,42.74444444,0.2255,NA,NA,NA,NA,NA
BBSP145,0.255223369,0.529490132,0.46168557,51.40216743,169.4089439,40.27222222,0.1715,NA,NA,NA,NA,NA
BBSP146,0.461273103,0.525316828,0.466394064,59.00751984,154.3358889,47.66666667,0.130444444,-35.954462,36.14408263,1.660130525,21.77183184,-1.40065923
BBSP149,0.31552211,0.374776083,0.390727357,91.19831255,200.0114925,43.37777778,0.127888889,-34.299462,37.04538121,2.087423064,17.74694447,-1.255666174
BBSP151,0.434357516,0.615260131,0.523098698,48.1404135,241.6239026,37.43333333,0.122444444,-37.083462,42.34124317,2.231675687,18.97284781,-1.592864206
BBSP152,0.215554074,0.368608534,0.332599662,42.08383454,260.5844585,41.96666667,0.162944444,NA,NA,NA,NA,-0.933575957
BBSP153,0.17359299,0.220851152,0.204922006,63.61143833,288.8092328,42.48888889,0.150777778,NA,NA,NA,NA,-1.402337876
BBSP154,0.298137019,0.593205084,0.528344244,91.37686729,231.0166209,46.03333333,0.088166667,-36.857462,38.17069458,1.773216656,21.5262441,-1.246013959
BBSP156,0.47143667,0.522617807,0.469981544,72.78144709,203.4949011,42.92222222,0.131,NA,NA,NA,NA,-1.147813163
BBSP157,0.303797356,0.382727824,0.415561454,41.87629191,183.4241197,50.07777778,0.153666667,NA,NA,NA,NA,NA
BBSP159,0.431471003,0.495832515,0.445994552,45.22375637,218.5926126,44.44444444,0.1615,-37.125462,45.52275406,1.945344371,23.40087171,-1.123472795
BBSP162,0.338604365,0.648289989,0.580770523,29.89011199,273.5751933,39.88888889,0.101555556,NA,NA,NA,NA,NA
BBSP165,0.494906994,0.729223647,0.605985532,38.42424054,203.6788613,45.8,0.089333333,-37.293462,47.80902037,1.773389813,26.95911526,-1.683825841
BBSP167,0.291375099,0.429333494,0.364719533,189.5803283,193.1999894,58.71111111,0.140111111,-37.400462,33.22333011,1.743290866,19.05782377,-1.243915652
BBSP168,0.473111966,0.607325064,0.557494729,143.1417855,148.7809968,42.76666667,0.120888889,NA,NA,NA,NA,NA
BBSP169,0.316787326,0.44527845,0.473846947,72.63968913,133.6057288,62.13333333,0.168,NA,NA,NA,NA,NA
BBSP173,0.356958632,0.492838597,0.43805506,74.36649365,184.8674626,44.23333333,0.161388889,-33.266462,47.14925275,2.107126107,22.37609443,-1.194395592
BBSP176,0.383655138,0.647686279,0.55788059,81.72183524,167.0931801,52.08888889,0.153,NA,NA,NA,NA,NA
BBSP177,0.525509838,0.572955795,0.53617999,28.88706052,244.3995016,48.88888889,0.126833333,-34.126462,51.91322609,2.422977,21.42538955,-1.341486955
BBSP180,0.373580853,0.401506071,0.419213063,5.193687609,361.0980425,42.06666667,0.099,NA,NA,NA,NA,NA
BBSP182,0.254869729,0.409229881,0.381523423,70.90387938,220.6854219,51.47777778,0.119388889,-35.946462,40.24644934,3.260078323,12.34524001,-1.190198977
BBSP183,0.428715324,0.401437782,0.441864856,56.69902547,234.365381,47.45555556,0.114111111,-35.433462,45.47143834,2.077875045,21.88362503,-1.392056168
